Date,Holiday
2016-01-01,Nytårsdag
2016-03-20,Palmesøndag
2016-03-24,Skærtorsdag
2016-03-25,Langfredag
2016-03-27,Påskedag
2016-03-28,Anden påskedag
2016-04-22,Store bededag
2016-05-05,Kristi himmelfartsdag
2016-05-15,Pinsedag
2016-05-16,Anden pinsedag
2016-12-25,Juledag
2016-12-26,Anden juledag
2017-01-01,Nytårsdag
2017-04-09,Palmesøndag
2017-04-13,Skærtorsdag
2017-04-14,Langfredag
2017-04-16,Påskedag
2017-04-17,Anden påskedag
2017-05-12,Store bededag
2017-05-25,Kristi himmelfartsdag
2017-06-04,Pinsedag
2017-06-05,Anden pinsedag
2017-12-25,Juledag
2017-12-26,Anden juledag
2018-01-01,Nytårsdag
2018-03-25,Palmesøndag
2018-03-29,Skærtorsdag
2018-03-30,Langfredag
2018-04-01,Påskedag
2018-04-02,Anden påskedag
2018-04-27,Store bededag
2018-05-10,Kristi himmelfartsdag
2018-05-20,Pinsedag
2018-05-21,Anden pinsedag
2018-12-25,Juledag
2018-12-26,Anden juledag
2019-01-01,Nytårsdag
2019-04-14,Palmesøndag
2019-04-18,Skærtorsdag
2019-04-19,Langfredag
2019-04-21,Påskedag
2019-04-22,Anden påskedag
2019-05-17,Store bededag
2019-05-30,Kristi himmelfartsdag
2019-06-09,Pinsedag
2019-06-10,Anden pinsedag
2019-12-25,Juledag
2019-12-26,Anden juledag
2020-01-01,Nytårsdag
2020-04-05,Palmesøndag
2020-04-09,Skærtorsdag
2020-04-10,Langfredag
2020-04-12,Påskedag
2020-04-13,Anden påskedag
2020-05-08,Store bededag
2020-05-21,Kristi himmelfartsdag
2020-05-31,Pinsedag
2020-06-01,Anden pinsedag
2020-12-25,Juledag
2020-12-26,Anden juledag
2011-01-01,Nytårsdag
2011-04-17,Palmesøndag
2011-04-21,Skærtorsdag
2011-04-22,Langfredag
2011-04-24,Påskedag
2011-04-25,Anden påskedag
2011-05-20,Store bededag
2011-06-02,Kristi himmelfartsdag
2011-06-12,Pinsedag
2011-06-13,Anden pinsedag
2011-12-25,Juledag
2011-12-26,Anden juledag
2012-01-01,Nytårsdag
2012-04-01,Palmesøndag
2012-04-05,Skærtorsdag
2012-04-06,Langfredag
2012-04-08,Påskedag
2012-04-09,Anden påskedag
2012-05-04,Store bededag
2012-05-17,Kristi himmelfartsdag
2012-05-27,Pinsedag
2012-05-28,Anden pinsedag
2012-12-25,Juledag
2012-12-26,Anden juledag
2013-01-01,Nytårsdag
2013-03-24,Palmesøndag
2013-03-28,Skærtorsdag
2013-03-29,Langfredag
2013-03-31,Påskedag
2013-04-01,Anden påskedag
2013-04-26,Store bededag
2013-05-09,Kristi himmelfartsdag
2013-05-19,Pinsedag
2013-05-20,Anden pinsedag
2013-12-25,Juledag
2013-12-26,Anden juledag
2014-01-01,Nytårsdag
2014-04-13,Palmesøndag
2014-04-17,Skærtorsdag
2014-04-18,Langfredag
2014-04-20,Påskedag
2014-04-21,Anden påskedag
2014-05-16,Store bededag
2014-05-29,Kristi himmelfartsdag
2014-06-08,Pinsedag
2014-06-09,Anden pinsedag
2014-12-25,Juledag
2014-12-26,Anden juledag
2015-01-01,Nytårsdag
2015-03-29,Palmesøndag
2015-04-02,Skærtorsdag
2015-04-03,Langfredag
2015-04-05,Påskedag
2015-04-06,Anden påskedag
2015-05-01,Store bededag
2015-05-14,Kristi himmelfartsdag
2015-05-24,Pinsedag
2015-05-25,Anden pinsedag
2015-12-25,Juledag
2015-12-26,Anden juledag
